Reprezentacija,Pozicija,Ime,BrojUtakmica
Brazil,GK,Alisson,57
Brazil,DF,Danilo,46
Brazil,DF,Thiago Silva,109
Brazil,DF,Marquinhos,71
Brazil,MF,Casemiro,65
Brazil,DF,Alex Sandro,37
Brazil,MF,Lucas Paqueta,35
Brazil,MF,Fred,28
Brazil,FW,Richarlison,38
Brazil,FW,Neymar,121
Brazil,FW,Raphinha,11
Brazil,GK,Weverton,8
Brazil,DF,Dani Alves,124
Brazil,DF,Eder Militao,23
Brazil,MF,Fabinho,28
Brazil,DF,Alex Telles,8
Brazil,MF,Bruno Guimaraes,8
Brazil,FW,Gabriel Jesus,56
Brazil,FW,Antony,11
Brazil,FW,Vinicius Junior,16
Brazil,FW,Rodrygo,7
Brazil,MF,Everton Ribeiro,21
Brazil,GK,Ederson,18
Brazil,DF,Bremer,1
Brazil,FW,Pedro,2
Brazil,FW,Gabriel Martinelli,3
Kamerun,GK,Simon Ngapandouetnbu,0
Kamerun,DF,Jerome Ngom Mbekeli,2
Kamerun,DF,Nicolas Nkoulou,79
Kamerun,DF,Christopher Wooh,4
Kamerun,MF,Gael Ondoua,4
Kamerun,FW,Moumi Ngamaleu,42
Kamerun,MF,Georges-Kevin Nkoudou,3
Kamerun,MF,Andre-Frank Zambo Anguissa,44
Kamerun,FW,Jean-Pierre Nsame,4
Kamerun,FW,Vincent Aboubakar,92
Kamerun,FW,Christian Bassogog,44
Kamerun,FW,Karl Toko Ekambi,52
Kamerun,FW,Eric Maxim Choupo-Moting,70
Kamerun,MF,Samuel Gouet,22
Kamerun,MF,Pierre Kunde,33
Kamerun,GK,Devis Epassy,5
Kamerun,DF,Olivier Mbaizo,11
Kamerun,MF,Martin Hongla,20
Kamerun,DF,Collins Fai,53
Kamerun,FW,Bryan Mbeumo,4
Kamerun,DF,Jean-Charles Castelletto,15
Kamerun,MF,Olivier Ntcham,4
Kamerun,GK,Andre Onana,34
Kamerun,DF,Enzo Ebosse,3
Kamerun,DF,Nouhou Tolo,19
Kamerun,MF,Souaibou Marou,3
Srbija,GK,Marko Dmitrovic,19
Srbija,DF,Strahinja Pavlovic,22
Srbija,DF,Strahinja Erakovic,2
Srbija,DF,Nikola Milenkovic,39
Srbija,DF,Milos Veljkovic,21
Srbija,MF,Nemanja Maksimovic,40
Srbija,FW,Nemanja Radonjic,36
Srbija,MF,Nemanja Gudelj,49
Srbija,FW,Aleksandar Mitrovic,76
Srbija,FW,Dusan Tadic,91
Srbija,FW,Luka Jovic,29
Srbija,GK,Predrag Rajkovic,28
Srbija,DF,Stefan Mitrovic,35
Srbija,MF,Andrija Zivkovic,29
Srbija,DF,Srdjan Babic,2
Srbija,MF,Sasa Lukic,32
Srbija,MF,Filip Kostic,50
Srbija,FW,Dusan Vlahovic,17
Srbija,MF,Uros Racic,9
Srbija,MF,Sergej Milinkovic-Savic,36
Srbija,FW,Filip Djuricic,37
Srbija,MF,Darko Lazovic,26
Srbija,GK,Vanja Milinkovic-Savic,7
Srbija,MF,Ivan Ilic,6
Srbija,DF,Filip Mladenovic,20
Srbija,MF,Marko Grujic,18
Svajcarska,GK,Yann Sommer,77
Svajcarska,DF,Edimilson Fernandes,22
Svajcarska,DF,Silvan Widmer,34
Svajcarska,DF,Nico Elvedi,41
Svajcarska,DF,Manuel Akanji,43
Svajcarska,MF,Denis Zakaria,43
Svajcarska,FW,Breel Embolo,59
Svajcarska,MF,Remo Freuler,49
Svajcarska,FW,Haris Seferovic,89
Svajcarska,MF,Granit Xhaka,107
Svajcarska,DF,Renato Steffen,28
Svajcarska,GK,Jonas Omlin,4
Svajcarska,DF,Ricardo Rodriguez,100
Svajcarska,MF,Michel Aebischer,12
Svajcarska,MF,Djibril Sow,32
Svajcarska,MF,Christian Fassnacht,16
Svajcarska,FW,Ruben Vargas,27
Svajcarska,DF,Eray Comert,10
Svajcarska,FW,Noah Okafor,9
Svajcarska,MF,Fabian Frei,22
Svajcarska,GK,Gregor Kobel,3
Svajcarska,DF,Fabian Schar,73
Svajcarska,MF,Xherdan Shaqiri,109
Svajcarska,GK,Philipp Kohn,0
Svajcarska,MF,Fabian Rieder,0
Svajcarska,MF,Ardon Jashari,1
